36	25526	
id	name	desc	icon	itemtype	itemlevel	playerlevel	sex	civ	quality	tradein	price	sellnpc	deal	breakable	storage	expire	sound	mataudio	mesh	meshbattle	visualslot	colormale	colorfemale	dye	soul	gem	god	changeskin	dismantle	charge	lambda	attrmain	attrbonus	attrcharge1	attrcharge2
110100006	STR_NPC_RB_TORSO_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15049	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100007	STR_NPC_RB_TORSO_501	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15050	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100008	STR_NPC_RB_TORSO_502	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15051	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100009	STR_RB_TORSO_N_C_01A	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15052	0	0	ffffff	ffffff	1	10	1	0	1	1	0	0	15047	15048	0	0
110100010	STR_RB_TORSO_N_C_05A	0	15044	1601	5	15053	0	3	1	0	850	1	1	1	2	0	15045	269	15054	0	0	a8f1ac	a8f1ac	1	10	1	0	1	1	0	0	15055	15056	0	0
110100011	STR_RB_TORSO_N_C_10A	0	15044	1601	10	15057	0	3	1	0	4700	1	1	1	2	0	15045	269	15058	0	0	e5f3fd	e7f2ff	1	10	1	0	1	1	0	0	15059	15060	0	0
110100012	STR_RB_TORSO_N_C_15A	0	15044	1601	15	15061	0	3	1	0	10800	1	1	1	2	0	15045	269	15062	0	0	7d65a1	a363f1	1	10	1	0	1	1	0	0	15063	15064	0	0
110100013	STR_RB_TORSO_N_C_20A	0	15044	1601	20	15065	0	3	1	0	20900	1	1	1	2	0	15045	269	15066	0	0	d198c6	d198c6	1	10	1	0	1	1	0	0	15067	15068	0	0
110100014	STR_RB_TORSO_N_C_25A	0	15044	1601	25	15069	0	3	1	0	55600	1	1	1	2	0	15045	269	15066	0	0	91c0c1	91c0c1	1	10	1	0	1	1	0	0	15070	15071	0	0
110100015	STR_RB_TORSO_N_C_30A	0	15044	1601	30	15072	0	3	1	0	122850	1	1	1	2	0	15045	269	15073	0	0	d8d07c	d8d07c	1	10	1	0	1	1	0	0	15074	15075	0	0
110100016	STR_RB_TORSO_N_C_35A	0	15044	1601	35	15076	0	3	1	0	333500	1	1	1	2	0	15045	269	15073	0	0	6fb9d5	6fb9d5	1	10	1	0	1	1	0	0	15077	15078	0	0
110100017	STR_RB_TORSO_N_C_40A	0	15044	1601	40	15079	0	3	1	0	795700	1	1	1	2	0	15045	269	15080	0	0	83bb9c	83bb9c	1	10	1	0	1	1	0	0	15081	15082	0	0
110100018	STR_RB_TORSO_N_C_45A	0	15044	1601	45	15083	0	3	1	0	1274950	1	1	1	2	0	15045	269	15080	0	0	c88dd7	c88dd7	1	10	1	0	1	1	0	0	15084	15085	0	0
110100019	STR_RB_TORSO_N_C_50A	0	15044	1601	50	15086	0	3	1	0	1452050	1	1	1	2	0	15045	269	15087	0	0	116da8	116da8	1	10	1	0	1	1	0	0	15088	15089	0	0
110100020	STR_RB_TORSO_N_R_08A	0	15090	1601	8	15091	0	3	2	0	3700	1	1	1	2	0	15045	269	15058	0	0	e5f3fd	e7f2ff	1	10	2	0	1	1	0	0	15092	15093	0	0
110100024	STR_RB_TORSO_D_N_C_01A	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15052	0	0	423638	564848	1	10	1	0	1	1	0	0	15047	15048	0	0
110100025	STR_RB_TORSO_D_N_C_05A	0	15044	1601	5	15053	0	3	1	0	850	1	1	1	2	0	15045	269	15054	0	0	bba285	bba285	1	10	1	0	1	1	0	0	15055	15056	0	0
110100026	STR_RB_TORSO_D_N_C_10A	0	15044	1601	10	15057	0	3	1	0	4700	1	1	1	2	0	15045	269	15058	0	0	968b72	b2a392	1	10	1	0	1	1	0	0	15059	15060	0	0
110100027	STR_RB_TORSO_D_N_C_15A	0	15044	1601	15	15061	0	3	1	0	10800	1	1	1	2	0	15045	269	15062	0	0	aeb900	968230	1	10	1	0	1	1	0	0	15063	15064	0	0
110100028	STR_RB_TORSO_D_N_C_20A	0	15044	1601	20	15065	0	3	1	0	20900	1	1	1	2	0	15045	269	15066	0	0	5c6480	5c6480	1	10	1	0	1	1	0	0	15067	15068	0	0
110100029	STR_RB_TORSO_D_N_C_25A	0	15044	1601	25	15069	0	3	1	0	55600	1	1	1	2	0	15045	269	15066	0	0	270808	3c2020	1	10	1	0	1	1	0	0	15070	15071	0	0
110100030	STR_RB_TORSO_D_N_C_30A	0	15044	1601	30	15072	0	3	1	0	122850	1	1	1	2	0	15045	269	15073	0	0	52ced3	52ced3	1	10	1	0	1	1	0	0	15074	15075	0	0
110100031	STR_RB_TORSO_D_N_C_35A	0	15044	1601	35	15076	0	3	1	0	333500	1	1	1	2	0	15045	269	15073	0	0	e6ad12	e6ad12	1	10	1	0	1	1	0	0	15077	15078	0	0
110100032	STR_RB_TORSO_D_N_C_40A	0	15044	1601	40	15079	0	3	1	0	795700	1	1	1	2	0	15045	269	15080	0	0	46729c	2a76a2	1	10	1	0	1	1	0	0	15081	15082	0	0
110100033	STR_RB_TORSO_D_N_C_45A	0	15044	1601	45	15083	0	3	1	0	1274950	1	1	1	2	0	15045	269	15080	0	0	95486a	c64880	1	10	1	0	1	1	0	0	15084	15085	0	0
110100034	STR_RB_TORSO_D_N_C_50A	0	15044	1601	50	15086	0	3	1	0	1452050	1	1	1	2	0	15045	269	15087	0	0	c7d26e	d2e33e	1	10	1	0	1	1	0	0	15088	15089	0	0
110100044	STR_NPC_RB_TORSO_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15094	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100045	STR_NPC_RB_TORSO_04	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15095	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100050	STR_RB_TORSO_POLYMORPH_01A	0	15044	1601	10	15057	0	3	1	0	4700	1	1	1	2	0	15045	269	15038	0	0	ede8d2	ffffff	1	10	1	0	1	1	0	0	15059	15060	0	0
110100051	STR_RB_TORSO_POLYMORPH_01A	0	15044	1601	10	15057	0	3	1	0	4700	1	1	1	2	0	15045	269	15096	0	0	c88c73	be8272	1	10	1	0	1	1	0	0	15059	15060	0	0
110100060	STR_RB_TEST_TORSO_15A	0	15044	1601	15	15061	0	3	1	0	10800	1	1	1	2	0	15045	269	15096	0	0	fef8e8	dcbbad	1	10	1	0	1	1	0	0	15063	15064	0	0
110100061	STR_RB_TEST_TORSO_25A	0	15044	1601	25	15069	0	3	1	0	55600	1	1	1	2	0	15045	269	15096	0	0	fef8e8	dcbbad	1	10	1	0	1	1	0	0	15070	15071	0	0
110100062	STR_RB_TEST_TORSO_15B	0	15044	1601	15	15061	0	3	1	0	10800	1	1	1	2	0	15045	269	15038	0	0	ede8d2	ffffff	1	10	1	0	1	1	0	0	15063	15064	0	0
110100063	STR_RB_TEST_TORSO_25B	0	15044	1601	25	15069	0	3	1	0	55600	1	1	1	2	0	15045	269	15038	0	0	ede8d2	ffffff	1	10	1	0	1	1	0	0	15070	15071	0	0
110100071	STR_NPC_RB_TORSO_05	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15097	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100122	STR_RB_TORSO_G_16A	0	15090	1601	16	15098	0	3	2	0	3750	1	0	1	1	0	15045	269	15099	0	0	ffffff	ffffff	0	10	2	0	1	1	0	0	15100	15101	0	0
110100123	STR_RB_TORSO_D_G_16A	0	15090	1601	16	15098	0	3	2	0	3750	1	0	1	1	0	15045	269	15096	0	0	ffffff	ffffff	0	10	2	0	1	1	0	0	15100	15101	0	0
110100124	STR_RB_TORSO_G_16B	0	15090	1601	16	15098	0	3	2	0	3750	1	0	1	1	0	15045	269	15102	0	0	ffffff	ffffff	0	10	2	0	1	1	0	0	15100	15101	0	0
110100125	STR_RB_TORSO_D_G_16B	0	15090	1601	16	15098	0	3	2	0	3750	1	0	1	1	0	15045	269	15099	0	0	ffffff	ffffff	0	10	2	0	1	1	0	0	15100	15101	0	0
110100126	STR_LEHPAR_RB_TORSO_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15052	0	0	a8543a	a8543a	0	10	1	0	1	1	0	0	15047	15048	0	0
110100127	STR_LEHPAR_RB_TORSO_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15102	0	0	a8543a	a8543a	0	10	1	0	1	1	0	0	15047	15048	0	0
110100150	STR_CL_TORSO_N_C_01A	0	15090	1201	1	15033	0	3	1	0	4000	1	1	1	2	0	15034	269	15038	0	0	ff00a0	ff00a0	1	0	0	0	1	1	0	0	15047	15048	0	0
110100151	STR_NPC_RB_TORSO_06	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15103	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100152	STR_NPC_RB_TORSO_07	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15104	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100288	STR_CL_TORSO_D_N_C_01A	0	15090	1201	1	15033	0	3	1	0	4000	1	1	1	2	0	15034	269	15038	0	0	ff00a0	ff00a0	1	0	0	0	1	1	0	0	15047	15048	0	0
110100290	STR_RB_TORSO_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15066	0	0	afb1c2	afb1c2	0	10	1	0	1	1	0	0	15047	15048	0	0
110100291	STR_RB_TORSO_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15080	0	0	7e93ab	7e93ab	0	10	1	0	1	1	0	0	15047	15048	0	0
110100292	STR_RB_TORSO_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15066	0	0	765046	765046	0	10	1	0	1	1	0	0	15047	15048	0	0
110100293	STR_RB_TORSO_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15105	0	0	371614	371614	0	10	1	0	1	1	0	0	15047	15048	0	0
110100294	STR_CITIZEN_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15106	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100295	STR_CITIZEN_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15106	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100296	STR_WORKER_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15107	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100297	STR_WORKER_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15107	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100298	STR_SCHOLAR_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15108	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100299	STR_SCHOLAR_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15108	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100300	STR_ORACLE_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15109	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100301	STR_ORACLE_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15109	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100302	STR_WEAPON_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15110	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100303	STR_WEAPON_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15110	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100304	STR_MISC_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15111	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100305	STR_MISC_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15111	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100306	STR_ACCESSORY_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15112	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100307	STR_ACCESSORY_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15112	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100308	STR_MATERIAL_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15113	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100309	STR_MATERIAL_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15113	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100310	STR_ENTOOL_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15114	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100311	STR_ENTOOL_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15114	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100312	STR_WEAPON_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15115	0	0	b7a6a7	b7a6a7	0	10	1	0	1	1	0	0	15047	15048	0	0
110100313	STR_WEAPON_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15116	0	0	3d3d48	666174	0	10	1	0	1	1	0	0	15047	15048	0	0
110100314	STR_MISC_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15117	0	0	b7a6a7	b7a6a7	0	10	1	0	1	1	0	0	15047	15048	0	0
110100315	STR_MISC_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15118	0	0	3d3d48	666174	0	10	1	0	1	1	0	0	15047	15048	0	0
110100316	STR_ACCESSORY_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15119	0	0	b7a6a7	b7a6a7	0	10	1	0	1	1	0	0	15047	15048	0	0
110100317	STR_ACCESSORY_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15120	0	0	3d3d48	666174	0	10	1	0	1	1	0	0	15047	15048	0	0
110100318	STR_MATERIAL_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15121	0	0	b7a6a7	b7a6a7	0	10	1	0	1	1	0	0	15047	15048	0	0
110100319	STR_MATERIAL_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15122	0	0	3d3d48	666174	0	10	1	0	1	1	0	0	15047	15048	0	0
110100320	STR_ENTOOL_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15123	0	0	b7a6a7	b7a6a7	0	10	1	0	1	1	0	0	15047	15048	0	0
110100321	STR_ENTOOL_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15124	0	0	3d3d48	666174	0	10	1	0	1	1	0	0	15047	15048	0	0
110100322	STR_WMASTER_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15125	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100323	STR_WMASTER_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15125	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100324	STR_SMASTER_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15126	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100325	STR_SMASTER_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15126	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100326	STR_MMASTER_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15127	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100327	STR_MMASTER_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15127	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100328	STR_CMASTER_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15128	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100329	STR_CMASTER_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15128	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100330	STR_GUARD_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15129	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100331	STR_GUARD_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15130	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100332	STR_GUARD_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15129	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100333	STR_GUARD_D_NPC_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15130	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100334	STR_ORACLE_TORSO_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15038	0	0	ede8d2	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100335	STR_ORACLE_TORSO_D_NPC_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15038	0	0	bd6e63	952e34	0	10	1	0	1	1	0	0	15047	15048	0	0
110100336	STR_RB_TORSO_NPC_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15087	0	0	33284b	4b296a	0	10	1	0	1	1	0	0	15047	15048	0	0
110100337	STR_RB_TORSO_D_NPC_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15102	0	0	79dfe3	316775	0	10	1	0	1	1	0	0	15047	15048	0	0
110100338	STR_RB_TORSO_NOMESH_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	0	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100339	STR_RB_TORSO_NPC_N_C_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15052	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100340	STR_RB_TORSO_NPC_N_C_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15096	0	0	fef8e8	dcbbad	0	10	1	0	1	1	0	0	15047	15048	0	0
110100341	STR_RB_TORSO_NPC_N_C_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15038	0	0	ede8d2	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100342	STR_RB_TORSO_NPC_N_C_04	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15087	0	0	33284b	4b296a	0	10	1	0	1	1	0	0	15047	15048	0	0
110100343	STR_RB_TORSO_NPC_N_R_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15058	0	0	e5f3fd	e7f2ff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100344	STR_RB_TORSO_NPC_N_R_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15099	0	0	ffc6a3	f8ab8d	0	10	1	0	1	1	0	0	15047	15048	0	0
110100345	STR_RB_TORSO_NPC_N_R_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15102	0	0	ffeba3	ffdb85	0	10	1	0	1	1	0	0	15047	15048	0	0
110100346	STR_RB_TORSO_NPC_N_R_04	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15131	0	0	82e7ce	6ac4d4	0	10	1	0	1	1	0	0	15047	15048	0	0
110100347	STR_RB_TORSO_NPC_D_N_C_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15052	0	0	423638	564848	0	10	1	0	1	1	0	0	15047	15048	0	0
110100348	STR_RB_TORSO_NPC_D_N_C_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15096	0	0	c88c73	be8272	0	10	1	0	1	1	0	0	15047	15048	0	0
110100349	STR_RB_TORSO_NPC_D_N_C_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15038	0	0	bd6e63	952e34	0	10	1	0	1	1	0	0	15047	15048	0	0
110100350	STR_RB_TORSO_NPC_D_N_C_04	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15087	0	0	935454	d25339	0	10	1	0	1	1	0	0	15047	15048	0	0
110100351	STR_RB_TORSO_NPC_D_N_R_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15058	0	0	968b72	b2a392	0	10	1	0	1	1	0	0	15047	15048	0	0
110100352	STR_RB_TORSO_NPC_D_N_R_02	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15099	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
110100353	STR_RB_TORSO_NPC_D_N_R_03	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15102	0	0	79dfe3	316775	0	10	1	0	1	1	0	0	15047	15048	0	0
110100354	STR_RB_TORSO_NPC_D_N_R_04	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15131	0	0	84697f	a75ea5	0	10	1	0	1	1	0	0	15047	15048	0	0
110100355	STR_RB_TORSO_N_C2_04A	0	15044	1601	4	15132	0	3	1	0	500	1	1	1	2	0	15045	269	15052	0	0	ffffff	ffffff	1	10	1	0	1	1	0	0	15133	15134	0	0
110100356	STR_RB_TORSO_N_C2_09A	0	15044	1601	9	15135	0	3	1	0	4100	1	1	1	2	0	15045	269	15054	0	0	a8f1ac	a8f1ac	1	10	1	0	1	1	0	0	15136	15137	0	0
110100357	STR_RB_TORSO_N_C2_14A	0	15044	1601	14	15138	0	3	1	0	9600	1	1	1	2	0	15045	269	15058	0	0	e5f3fd	e7f2ff	1	10	1	0	1	1	0	0	15100	15139	0	0
110100358	STR_RB_TORSO_N_C2_19A	0	15044	1601	19	207	0	3	1	0	18350	1	1	1	2	0	15045	269	15062	0	0	7d65a1	a363f1	1	10	1	0	1	1	0	0	15140	15141	0	0
110100359	STR_RB_TORSO_N_C2_24A	0	15044	1601	24	15142	0	3	1	0	47200	1	1	1	2	0	15045	269	15096	0	0	792953	612444	1	10	1	0	1	1	0	0	15143	15144	0	0
110100360	STR_RB_TORSO_N_C2_29A	0	15044	1601	29	15145	0	3	1	0	102000	1	1	1	2	0	15045	269	15099	0	0	68b483	68b483	1	10	1	0	1	1	0	0	15146	15147	0	0
110100361	STR_RB_TORSO_N_C2_34A	0	15044	1601	34	15148	0	3	1	0	267500	1	1	1	2	0	15045	269	15038	0	0	86c9a4	86c9a4	1	10	1	0	1	1	0	0	15149	15150	0	0
110100362	STR_RB_TORSO_N_C2_39A	0	15044	1601	39	15151	0	3	1	0	657550	1	1	1	2	0	15045	269	15152	0	0	1150ab	1150ab	1	10	1	0	1	1	0	0	15153	15154	0	0
110100363	STR_RB_TORSO_N_C2_44A	0	15044	1601	44	15155	0	3	1	0	1237800	1	1	1	2	0	15045	269	15156	0	0	27d744	27d744	1	10	1	0	1	1	0	0	15157	15158	0	0
110100364	STR_RB_TORSO_N_C2_49A	0	15044	1601	49	15159	0	3	1	0	1389550	1	1	1	2	0	15045	269	15080	0	0	d6a233	d6a233	1	10	1	0	1	1	0	0	15160	15161	0	0
110100365	STR_RB_TORSO_D_N_C2_04A	0	15044	1601	4	15132	0	3	1	0	500	1	1	1	2	0	15045	269	15052	0	0	423638	564848	1	10	1	0	1	1	0	0	15133	15134	0	0
110100366	STR_RB_TORSO_D_N_C2_09A	0	15044	1601	9	15135	0	3	1	0	4100	1	1	1	2	0	15045	269	15054	0	0	bba285	bba285	1	10	1	0	1	1	0	0	15136	15137	0	0
