5	1260	
id	mapid	priority	data	poly
20	110010000	1	15162	15.5,65.5;1695.41,2103.5;1683.97,2168.76;1617.17,2172.22;1586.73,2164.89;1546.3,2187.64;1524.34,2165.67;1501.2,2156.1;1492,2115.73;1468.85,2050.15;1450.45,2051.93;1443.63,2111.88;1424.63,2127.6;1402.86,2117.78;1394.85,2096.42;1389.21,2075.94;1366.06,2063.18;1358.55,2050.48;1314.03,2049.3;1288.8,2067.1;1283.81,2042.14;1260.07,2038.88;1232.47,2055.49;1225.64,2105.65;1204.87,2115.15;1179.94,2139.19;1145.03,2135.87;1104.37,2145.96;1097.84,2166.14;1102.88,2212.73;1074.15,2255.72;610.01,2725.18;753.96,2835.75;983.43,2718.92;1071.92,2791.94;1234.89,2878.51;1364.02,2890.69;1624.32,2488.41;1559.64,2447.61;1534.68,2430.25;1510.81,2459.54;1492.36,2448.69;1452.22,2471.48;1430.51,2473.65;1371.92,2444.35;1363.24,2404.2;1364.32,2386.84;1389.28,2378.16;1387.11,2353.2;1358.9,2340.18;1352.39,2324.99;1341.54,2316.31;1331.77,2327.16;1314.41,2318.48;1293.03,2284.85;1321.69,2243.97;1354.04,2226.12;1387.51,2241.74;1400.15,2259.59;1404.25,2288.97;1397.55,2353.3;1405.73,2371.15;1403.5,2382.3;1414.29,2388.25;1444.8,2383.64;1469.86,2385.57;1502.95,2394.49;1539.76,2382.59;1560.96,2368.84;1578.07,2370.32;1585.13,2389.66;1583.27,2413.83;1570.63,2435.77;1288.8,2890.58;1359.38,2905.64;2300.22,2945.28;2523.44,2820.11;2526.11,2498.13;2744.57,2175.49;2794.96,1833.13;2684.07,731.88;2402.08,685.68;2245.99,567.08;2219.22,409.54;2006.6,370.31;1576.22,343.48;1305.1,463.47;1254.27,518.01;912.26,505.34;945.12,576.39;794.03,509.56;722.32,473.43;665.32,515.65;671.58,587.68;652.66,614.88;582.92,608.79;576.65,682.43;620.99,749.99;618.88,825.99;549.14,874.79;509.1,855.55;454.21,891.44;445.69,978.24;376.02,931.8;183.98,956.88;143.87,1987.13;264.2,1989.24;321.2,2031.47;460.54,1980.8;580.88,2058.91;568.21,2145.47;536.54,2187.69;460.54,2341.81;460.54,2409.37;525.99,2409.37;572.43,2415.7;625.21,2468.48;637.88,2519.15;604.1,2584.59;574.54,2690.15;630.27,2727.72;762.3,2802.37;956.31,2698.06;1162.84,2349.68;1145.71,2274.49;1068.12,2227.08;994.3,2217.57;952.73,2189.5;947.87,2171.68;966.5,2139.29;977.03,2072.07;1002.13,2008.91;1071.77,1978.13;1095.26,1936.02;1092.02,1906.87;1121.17,1875.29;1135.75,1864.76;1154.37,1846.14;1173,1820.22;1185.96,1816.17;1207.82,1782.16;1208.63,1740.05;1190.01,1716.57;1158.42,1708.47;1082.3,1765.15;1092.02,1792.69;1085.54,1822.65;1049.1,1845.33;995.65,1847.76;954.68,1821.24;923.91,1768.6;925.53,1720.01;872.08,1696.53;789.48,1716.77;714.17,1677.09;693.92,1632.55;775.72,1508.65;777.34,1393.66;819.45,1331.3;873.7,1310.25;962.78,1327.25;1019.34,1312.9;1063.88,1265.93;1063.88,1242.45;1090.6,1267.55;1161.05,1265.12;1206.4,1254.59;1215.31,1202.76;1194.26,1171.99;1159.43,1134.74;1108.42,1137.98;1043.63,1061.86;988.56,1047.28;957.79,1004.36;943.21,953.34;956.98,902.32;1009.62,860.21;1089.79,861.02;1122.84,876.25;1170.53,868.85;1230.56,881.18;1251.12,873.78;1256.05,949.44;1266.74,981.51;1287.3,988.91;1302.92,982.33;1333.35,916.54;1361.31,888.58;1442.13,814.55;1507.09,710.12;1520.25,708.47;1538.34,690.38;1627.15,700.25;1654.67,734.38;1662.07,851.97;1671.12,878.28;1723.74,929.27;1751.7,924.33;1777.19,854.44;1811.73,875.82;1824.07,901.31;1942.52,849.24;2038.34,885.18;2105.49,977.98;2136.55,994.17;2156.91,1080.4;2180.86,1091.18;2196.43,1128.31;2247.94,1172.63;2268.3,1228.92;2355.95,1225.69;2384.05,1345.39;2364.52,1444.13;2369.95,1481.03;2311.35,1523.34;2278.8,1548.3;2282.05,1624.26;2302.67,1636.19;2329.8,1648.13;2382.97,1713.24;2356.92,1749.05;2368.86,1790.28;2422.03,1831.51;2436.98,1852.49;2398.16,1960.64;2357.42,2024.93;2298.28,2009.46;2174.53,1990.35;2144.5,2007.64;2108.1,2003.09;2094.46,2042.21;2102.65,2092.26;2126.3,2115.01;2113.56,2161.41;2102.65,2230.57;2131.76,2304.27;2097.19,2368.87;2038.04,2391.62;2009.83,2366.14;1958.88,2364.32;1918.84,2388.89;1860.61,2387.07;1833.31,2442.58;1805.1,2423.47;1757.58,2455.88;1697.75,2459.19;1676.32,2423.21;1696.7,2400.38;1716.39,2352.07;1743.56,2317.56;1775.63,2299.62;1789.66,2259.39;1785.04,2208.58;1808.41,2155.04;1831.78,2149.61;1853.25,2128.95;1832.32,2095.26;1787.05,2053.28;1758.04,2022.33;1721.53,2001.69;1692.7,2002.76;1661.99,1959.62;1670.36,1941.39;1681.36,1918.67;1691.03,1878.93;1675.93,1832.16;1693.96,1801.73;1721.85,1796.98;1744.13,1795.07;1757.99,1772.52;1755,1743.44;1751.2,1712.19;1758.26,1695.88;1783.3,1684.32;1796.01,1659.43;1840.12,1643.58;1875.85,1642.84;1892.05,1645.42;1924.28,1642.29;1928.7,1630.14;1924.83,1617.8;1891.32,1616.51;1882.29,1620.01;1851.35,1622.4;1809.23,1618.47;1790.3,1607.59;1776.82,1587.11;1758.16,1568.44;1736.12,1557.29;1723.04,1526.12;1731.33,1501.23;1756.59,1488.64;1787.35,1489.62;1810.94,1500.44;1822.37,1498.49;1822.86,1486.58;1787.84,1457.27;1775.92,1459.34;1762.3,1463.35;1753.91,1461.04;1743.46,1464.81;1733.24,1422.74;1739.13,1413.48;1754.57,1406.55;1770.13,1405.7;1778.52,1392.08;1779.25,1384.78;1786.06,1378.7;1785.94,1360.1;1776.82,1353.05;1770.98,1341.74;1747.39,1333.47;1725.96,1336.92;1703.22,1330.36;1701.69,1318.55;1695.61,1304.81;1684.54,1298.12;1668.61,1271.12;1673.18,1248.38;1680.84,1243.88;1698.68,1242.58;1703.91,1236.87;1720.93,1238.82;1733.21,1227.75;1735.64,1207.2;1740.87,1195.04;1758.43,1193.8;1775.58,1176.04;1780.25,1167.39;1796.18,1163.25;1798.13,1151.21;1814.59,1133.25;1819.21,1104.07;1828.94,1093.12;1857.23,1091;1864.04,1079.57;1884.22,1065.1;1893.71,1050.14;1925.92,1053.12;1933.94,1045.95;1956.92,1044.37;1955.22,1020.66;1961.98,993.64;1969.4,978.57;1955.3,964.83;1950.43,949.75;1950.07,932.6;1944.27,911.19;1940.38,883.34;1932.72,870.21;1914.43,778.4;1818.41,818.01;1821.58,925.94;1822.92,932.62;1837.51,957.19;1836.17,969.71;1834.84,987.29;1814.01,1000.98;1783.37,1007.43;1777.29,1032.59;1767.83,1042.34;1761.63,1064.72;1749.3,1068.59;1727.34,1077.46;1699.37,1107.37;1698.04,1120.01;1682.84,1129.86;1679.56,1134.36;1685.39,1153.69;1680.16,1157.1;1669.59,1176.55;1665.89,1197.07;1644,1198.04;1630.75,1206.55;1617.13,1205.82;1608.01,1192.93;1584.3,1193.17;1577.24,1199.01;1571.89,1217.49;1576.15,1248.62;1591.48,1263.47;1589.66,1284.02;1590.02,1310.77;1601.94,1317.46;1617.54,1319.27;1624.47,1332.15;1636.14,1321.58;1645.75,1324.62;1654.27,1352.11;1677.69,1358.44;1699.57,1369.52;1703.58,1383.02;1698.72,1393.48;1691.79,1402.6;1686.56,1413.18;1692.76,1427.28;1690.2,1468.99;1669.74,1486.36;1653.92,1484.03;1642,1492.06;1638.63,1503.47;1645.63,1522.91;1636.29,1541.32;1606.8,1558.35;1596.17,1553.17;1585.02,1574.43;1560.13,1593.09;1537.84,1589.72;1509.58,1595.42;1501.55,1607.87;1513.73,1619.53;1559.62,1617.98;1592.54,1607.09;1610.94,1579.09;1642.16,1564.48;1670.93,1567.08;1674.56,1585.22;1701.78,1615.3;1713.05,1619.77;1727.31,1665.91;1709.35,1679.58;1689.51,1705.67;1686.25,1718.98;1645.76,1707.3;1631.63,1729.04;1623.75,1750.51;1621.03,1770.89;1631.63,1790.18;1646.76,1787.88;1635.61,1814.57;1617.72,1833.63;1602.92,1832.75;1592.8,1858.85;1598.96,1866.33;1609.95,1879.96;1598.66,1921.31;1593.74,1951.05;1582.01,1980.81;1556.79,1997.67;1548.29,2003.98;1579.37,2026.12;1601.51,2026.85;1633.33,2059.25;1654.85,2075.12;1673.11,2083.06
21	110010000	10	15174	0.1,88.1;1554.38,1890;1553.35,1890.77;1550.68,1902.51;1551.57,1903.79;1553.19,1904.17;1552.37,1908.37;1553.15,1909.3;1556.54,1910.04;1557.45,1909.56;1558.54,1905.42;1560.24,1905.75;1561.65,1905.15;1564.38,1893.22;1563.75,1891.92
22	110010000	90	15135	549.07,571.07;1604.79,1454.18;1594.94,1458.54;1593.64,1481.34;1597.55,1501.54;1609.6,1511.97;1602.76,1521.41;1598.85,1542.26;1601.69,1567.29;1614.78,1572.11;1636.31,1568.98;1638.6,1555.3;1636.31,1525;1633.38,1497.96;1631.86,1453.93
23	110010000	20	15198	570,620;1979.2,1420.93;2099.13,1419.55;2098.71,1602.08;1978.62,1599.72;1977.54,1520.87;1943.34,1519.38;1942.77,1502.61;1978.25,1501.93
24	110010000	16	15033	570,604;1914.14,1607.59;1892.15,1620.6;1904.85,1641.66;1928.08,1627.1
25	110010000	10	247	0.1,97.1;1481.16,1910.76;1479.43,1908.9;1480.16,1909.82;1478.55,1908.24;1475.91,1906.12;1474.32,1905.8;1472.32,1903.29;1472.3,1901.36;1473.61,1898.84;1476.33,1897.61;1478.13,1898.08;1480.29,1900.39;1481.19,1903.64;1483.38,1906.3;1484.24,1907.92;1484.24,1909.08;1482.23,1910.74
26	110020000	1	15145	1159.7,1309.7;2151.21,1503.44;2082.71,1618.1;2173.55,1669.47;2239.82,1551.83
27	110020000	20	15270	1200,1213;2140.42,1602.89;2158.73,1613.5;2146.45,1635.69;2127.32,1624.65
28	110020000	10	15072	1200,1213;2181.59,1530.11;2200.9,1540.94;2187.93,1563.16;2168.03,1552.28
29	120010000	26	15685	200,230;808.4,1367.54;785.99,1389.92;808.79,1412.32;831.83,1389.81
30	120010000	11	69962	200,255;1225.66,1150.96;1225.52,1241.29;1321.96,1241.32;1323.72,1151.77
31	120010000	101	69963	0.1,204;1247.5,1291.4;1245.39,1395.32;1316.61,1396.54;1309.76,1298.75
32	120010000	18	15151	200,228;1294.06,1456.37;1300.95,1474.95;1291.85,1478.84;1297.05,1492.26;1291.73,1494.57;1306.42,1536.78;1302.25,1538.38;1306.3,1549.6;1303.29,1550.52;1309.54,1568.1;1322.14,1564.28;1326.07,1573.07;1382.63,1552.42;1381.36,1543.63;1391.07,1538.19;1384.25,1521.08;1378.82,1510.44;1373.54,1512.4;1358.16,1470.07;1353.18,1471.69;1347.94,1458.26;1338.78,1460.91;1332.22,1442.9
33	120010000	31	69964	198.27,220.27;948.23,1549.89;984.38,1586.7;1001.46,1568.3;965.75,1532.36
34	120010000	22	15272	200,228;1046.35,1381.21;1017.26,1411.09;1039.13,1433.22;1068.95,1403.39
35	120010000	16	69965	200,228;1236.35,1483.75;1218.86,1531.59;1257.58,1545.72;1274.84,1497.65
36	120010000	19	69966	200,228;1385.79,1413.86;1385.62,1446.75;1425.75,1446.94;1426.16,1414.21
37	120010000	29	15086	200,230;835.5,1386.33;804.27,1418.81;840.35,1455.26;873.1,1422.27;855.83,1405.54;858.8,1401.77;849.39,1393.1;846,1395.7
38	120010000	12	15076	200,228;1173.42,1456.75;1162.99,1485.99;1201.68,1499.56;1211.76,1470.65
39	120010000	2	69967	207.6,227.6;894.82,1481.69;853.48,1458.15;831.5,1484.53;852.13,1525.11;891.7,1573.48;932.25,1533.41;931.48,1511.67;943.31,1493.57;984.91,1491.89;1034.93,1533.28;1070.51,1576.8;1086.24,1591.69;1121.24,1551.61;1104.15,1523.01;1095.63,1531.9;1005.12,1442.24;968.62,1430.72;949.3,1436.01;939.69,1452
40	120010000	1	15184	100,280;895.46,1394.93;874.03,1422.88;838.37,1459.06;896.52,1491.9;959.65,1437.18;1081.56,1548.71;1110.89,1550.38;1132.7,1528.8;1114.49,1510.59;1106.84,1517.33;1083.69,1493.73;1091.56,1484.96;1069.03,1464.42;1015.14,1410.52;1008.66,1408.09;982.54,1392.99;963.65,1378.91;952.63,1345.41;927.68,1348.56
41	120010000	23	15276	200,228;1070.37,1403.79;1040.67,1434.47;1063.02,1457.09;1092.46,1427.14
42	120010000	35	15619	0.1,190.1;1109.74,1272.61;1178.25,1274.61;1243.42,972;767.05,906.85;695.12,1256.32;830.16,1224.43;1016.77,1294.33
43	120010000	10	220	200,235;1375.26,1176.17;1376.01,1243.53;1408.1,1243.91;1407.54,1176.54
44	120010000	30	15614	200,228;1114.21,1464.58;1084.88,1493.75;1107.05,1516.3;1136.36,1486.94
45	120010000	4	69968	201.6,221.6;1102.48,1437.42;1100.27,1402.56;1091.23,1393.6;1092.05,1372.62;1076.76,1375;1057.77,1357.56;1062.26,1352.32;1095.98,1361.47;1103.17,1351.56;1115.92,1361.88;1119.66,1400.49;1141.94,1431.66;1113.12,1452.52;1114.16,1454.24;1147.1,1431.5;1156.12,1460.33;1149.18,1490.33;1121.82,1459.88
46	120010000	20	15317	200,228;1392.41,1354.38;1392.13,1387.89;1433.45,1387.84;1433.41,1354.11
47	120010000	21	15274	200,228;1001.58,1355.78;981.21,1391.97;1008.27,1407.2;1029.03,1371.88
48	120010000	102	15612	0.1,201.7;1107.25,1441.97;1149.52,1492.84;1161.93,1470.74;1154.47,1442.57;1135.88,1425.13;1115.36,1349.91;1072.7,1344.13;1054.83,1356.42
49	120010000	35	15079	0.1,220.1;1429.5,1298.04;1429.29,1316.79;1446.72,1316.52;1447.25,1333.55;1453.67,1333.45;1454.19,1316.69;1453.67,1292.94;1438.66,1289.6;1433.25,1289.6
50	120010000	28	15200	224,284;1149.02,1271.04;1124.93,1271;1115.35,1276.79;1107,1276.41;1106.85,1306.34;1116.96,1306.44;1122.09,1311.7;1149.87,1311.53
51	120010000	17	69969	200,228;1161.85,1558.68;1148.29,1596.59;1205.87,1617.44;1219.66,1579.05
52	120010000	33	69970	0.1,200.1;1380.98,1328;1361.13,1348.1;1346.44,1390.26;1346.84,1434.42;1362.23,1477.29;1393.13,1506.66;1437.1,1514.49;1505.14,1512.83;1504.83,1454.26;1504.76,1315.02;1393.53,1317.58
53	120010000	3	15083	203.9,223.9;1244.44,1309.98;1243.49,1374.9;1260.58,1393.6;1293.6,1392.78;1306.62,1372.39;1307.1,1311.89;1289.45,1300.66;1279.74,1309.38;1279.33,1364.28;1270.49,1364.95;1269.81,1309.24;1260.69,1300.39
54	120010000	13	15202	200,228;1161.07,1487.67;1150.29,1517.86;1189.35,1532;1200.37,1501.57
55	120010000	25	15177	200,230;876.58,1293.26;854.28,1314.96;883.36,1344.45;906.24,1322.11
56	120010000	1	69971	0.1,800.1;-167.34,2620.9;-198.59,-271.58;2345.6,-238.34;2335.44,2692.34;798.74,2663.31;911.07,1674.52;1481.24,1609.6;1736.73,1469.02;1736.77,1308.89;1578.46,1248.99;1507.17,956.85;1110.33,987.64;822.83,939.09;822.15,1213.08;708.83,1339.55;705.75,1375.64;908.55,1672.81;795.11,2660.85
57	120010000	99	69972	200,216.65;850.51,1335.36;826.55,1359.67;856.54,1390.86;879.74,1366.32
58	120010000	1	15181	216.65,226.65;850.41,1336.25;826.01,1360.67;856.95,1390.63;881.33,1366.64
59	120010000	10	15159	150,550;877.97,943.51;868.95,1265.01;1076.89,1271.64;1131.45,1248.89;1143.46,1140.11;1131.75,1003.18
60	120010000	15	15315	200,228;1217.09,1536.33;1206.55,1566.14;1245.61,1580.64;1256.39,1550.77
61	120010000	14	15155	200,228;1150.07,1517.86;1140.4,1546.94;1178.34,1560.71;1189.37,1531.98
62	120010000	100	15624	0.1,207.7;815.51,1486.21;893.06,1576.34;952.92,1513.02;960.12,1501.09;987.21,1496.72;1077.42,1602.33;1130.1,1553.13;1115.19,1528.77;1080.77,1518.58;993.05,1442.04;936.87,1449.27;893.45,1476.8;851.7,1450.96
63	120010000	27	15866	200,245;794.62,1275.36;764.82,1304.69;812.95,1351.69;835.23,1330.04;827.98,1323.03;835.07,1315.95
64	120010000	1	15188	0.1,800.1;812.74,1206.81;667.52,1365.88;896.5,1684.34;1489.34,1625.97;1761.3,1479.6;1759.34,1293.66;1591.86,1228.39;1546.9,923.61;1415.1,928.7;1418.16,1078.57;1320.72,1078.57;1313.29,943.56;1152.43,940.33;1109.15,1011.7;1084.6,1252.1
65	120010000	29	15148	200,228;1136.67,1362.82;1137.02,1388.07;1153.42,1388.3;1153.42,1362.93
66	120010000	24	69973	200,235;1326.64,1023.29;1327.59,1070.39;1361.62,1070.22;1361.76,1086.09;1375.07,1086.21;1375.09,1069.96;1409.11,1069.38;1409.3,1023.91
67	120020000	10	69974	267,287;1548.09,1354.7;1537.18,1377.43;1555.73,1387.37;1567.85,1364.86
68	120020000	20	69975	267,287;1509.89,1429.29;1497.66,1451.61;1517.04,1462.71;1528.9,1439.46
69	120020000	1	69976	216.27,366.27;1523,1313.62;1456.21,1454;1557.84,1508.39;1628.77,1370.93
70	110070000	20	69977	91.1,191.1;432.75,299.25;467.25,300.25;472.75,316.5;473,333.75;465.5,355.5;435,355.25
71	110070000	1	69978	0.1,300.1;193.31,87.82;679.67,82.48;670.34,469.33;195,467.98
72	110070000	10	69979	91.1,191.1;537,297.25;580.25,295.75;580,354;538,352;533.75,333;533.75,320.25
73	120080000	1	69980	0.1,250.1;-32.96,-66.71;-28.81,1079.99;1128.93,1090.02;1119.94,-58.75
74	120080000	10	69981	0.1,200.1;591.4,221.78;580.1,237.78;570.55,242.61;570.51,256.62;580.43,261.94;594.4,284.9;621.28,285.04;622.03,221.59
75	210010000	3	69982	0.2,120.2;468.03,1549.28;466.44,1553.89;468.11,1557.81;478.97,1562.46;482.59,1557.16;483.74,1555.39;483.88,1548.95;481.44,1546.84;475.94,1544.27;470.89,1545.85
76	210010000	10	69983	1,124;1052.74,1135.05;1052.33,1135.06;1050.3,1137.06;1050.29,1137.54;1052.23,1139.47;1051.56,1140.47;1056.87,1145.62;1060.65,1141.41;1059.64,1140.57;1061.3,1138.83;1058.64,1136.41;1057.05,1138.13;1055.34,1136.53;1054.74,1136.61
77	210010000	10	69984	0.1,180.1;358.69,1986.73;348.21,2003.89;324.98,1981.75;338.73,1968.34;332.64,1957.05;342.47,1942.77;352.62,1952.11;368.23,1939.74;350.94,1913.32;359.34,1867.89;372.16,1861.76;377.06,1847.79;346.97,1828.28;335.31,1846.92;340.9,1852.41;301.49,1883.53;281.67,1862.99;244.19,1807.22;223.06,1823.25;238.64,1844.22;268.75,1839.47;281.99,1859.17;260.77,1874.13;286.04,1901.5;299.17,1882.65;339.09,1850.81;349.37,1859.57;360.15,1868.52;352.08,1914.28;347.61,1910.67;333.01,1928.15;344.76,1945.21;333.49,1958.35;322.12,1940.28;308.43,1952.9;308.72,1961.52;313.24,1966.6;275.46,2000.28;258.97,1985.11;249.01,2000.02;269.12,2021.82;285.5,2007.38;274.33,1998.87;310.25,1963.47;324.43,1980.04;349.76,2002.11;343.37,2013.23;368.61,2029.88;357.23,2073.93;346.41,2069.4;340.73,2084.2;353.6,2094.81;364.18,2100.18;371.41,2090.16;372.27,2077.02;356.4,2073.59;367.54,2029.93;371.31,2028.99;388.85,2014.53
78	210010000	2	58474	0.1,200.1;131.31,1232.78;204.39,1181.99;216.49,1179.15;247.21,1163.53;282.41,1142.76;346.62,1030.02;334.12,894.86;19.83,843.6;8.89,1214.61
79	210010000	0	58470	90,240;167.15,1210.06;116.6,1099.18;131.13,1066.67;239.76,976.22;289.38,970.94;318.94,1042.06;274.41,1160.46
80	210010000	1	69985	0.1,800.1;354.69,1529.41;356.69,1649.76;312.31,1716.84;383.22,1773.06;526.77,1756.33;581.61,1808.24;668.4,1801.61;697.88,1764.61;839.19,1592.84;711.12,1306.36;612.47,1198.69;508.32,1278.3;415.92,1310.88
81	210010000	3	69986	0.1,800.1;338.04,1117.27;345.94,1344.2;374.24,1392.17;376,1434.98;352.21,1529.24;355.26,1649.73;329.12,1731.01;302.18,1745.88;255.18,1730.1;181.77,1685.82;17.78,1686.22;24.06,1517.44;97.27,1471.99;134.06,1235.05;200.5,1181.53;207.15,1167.04;233,1155.75;256.08,1162.02
82	210010000	2	69987	0.1,800.13;389.53,1125.72;521.91,779.61;744.62,773.58;814.92,1148.72;802.41,1182.19;789.04,1254.21;790.25,1295.25;726.39,1309.58;605.08,1231.65;517.5,1295.67;412.68,1310.79;384.79,1415.41;352.39,1345.71;351.78,1297.26
83	210010000	1	69988	0.1,160.1;644.87,1910.47;662.03,1939.31;713.76,1932.36;730.5,1878.46;704.06,1832.29;665.94,1842.97;654.37,1887.05
84	210010000	5	69989	0.1,127.1;816,1270.5;815.75,1253.4;820.06,1253.49;820.12,1246.26;826.75,1246.26;826.59,1253.57;830.75,1253.58;830.8,1270.37
85	210010000	1	69990	0.1,300.1;803.09,1206.18;840.14,1198.78;846.54,1171.95;916.61,1234.17;890.18,1259.17;854.36,1332.71;780.91,1321.5;779.54,1252.2
