36	8161	
id	name	desc	icon	itemtype	itemlevel	playerlevel	sex	civ	quality	tradein	price	sellnpc	deal	breakable	storage	expire	sound	mataudio	mesh	meshbattle	fxidle	fxbattle	soul	gem	god	changeskin	dismantle	charge	lambda	attackdelay	attacktype	attrmain	attrbonus	attrcharge1	attrcharge2
100000031	STR_ABYSS_SWORD_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29643	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000032	STR_ABYSS_SWORD_02	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29644	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000033	STR_NPC_DAXE_01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29645	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000034	STR_NPC_SWORD_LOGIN_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29646	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000035	STR_NPC_SWORD_D_LOGIN_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29647	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000036	STR_LEHPAR_DAGGER01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29648	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000037	STR_LIGHT_GUARDIAN_SWORD_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29649	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000038	STR_DARK_GUARDIAN_SWORD_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29650	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000039	STR_DRAKAN_GUARDIAN_SWORD_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29651	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000040	STR_NPC_SWORD_N_C_01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000041	STR_NPC_SWORD_N_C_02	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000042	STR_NPC_SWORD_N_C_03	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000043	STR_NPC_SWORD_N_C_04	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29654	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000044	STR_NPC_SWORD_N_C_05	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000045	STR_NPC_SWORD_N_C_06	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29656	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000046	STR_NPC_SWORD_N_C_07	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29657	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000047	STR_NPC_SWORD_N_C_08	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29658	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000048	STR_NPC_SWORD_N_R_01	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29660	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000049	STR_NPC_SWORD_N_R_02	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29641	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000050	STR_NPC_SWORD_N_R_03	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29661	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000051	STR_NPC_SWORD_N_R_04	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29662	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000052	STR_NPC_SWORD_N_R_05	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29663	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000053	STR_NPC_SWORD_N_R_06	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29664	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000054	STR_NPC_SWORD_N_R_07	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29665	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000055	STR_NPC_SWORD_N_R_08	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29666	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000056	STR_NPC_SWORD_N_R_09	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29667	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000057	STR_NPC_SWORD_N_R_10	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29668	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000058	STR_NPC_SWORD_N_R_11	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29669	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000059	STR_NPC_SWORD_N_R_12	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29670	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000060	STR_NPC_SWORD_N_R_13	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29671	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000061	STR_NPC_MACE_N_C_01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29638	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000062	STR_NPC_MACE_N_C_02	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29672	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000063	STR_NPC_MACE_N_C_03	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29673	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000064	STR_NPC_MACE_N_C_04	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29674	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000065	STR_NPC_MACE_N_C_05	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29675	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000066	STR_NPC_MACE_N_C_06	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29676	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000067	STR_NPC_MACE_N_C_07	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29677	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000068	STR_NPC_MACE_N_C_08	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29678	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000069	STR_NPC_MACE_N_R_01	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29680	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000070	STR_NPC_MACE_N_R_02	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29681	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000071	STR_NPC_MACE_N_R_03	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29682	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000072	STR_NPC_MACE_N_R_04	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29683	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000073	STR_NPC_MACE_N_R_05	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29684	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000074	STR_NPC_MACE_N_R_06	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29685	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000075	STR_NPC_MACE_N_R_07	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29686	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000076	STR_NPC_MACE_N_R_08	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29687	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000077	STR_NPC_MACE_N_R_09	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29688	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000078	STR_NPC_MACE_N_R_10	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29689	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000079	STR_NPC_MACE_N_R_11	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29690	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000080	STR_NPC_MACE_N_R_12	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29691	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000081	STR_NPC_MACE_N_R_13	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29692	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000082	STR_NPC_MACE_N_U_01	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29693	0	0	0	10	1	1	0	1	0	0	1.4	0	29694	0	0	0
100000083	STR_NPC_MACE_N_U_02	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29695	0	0	0	10	1	1	0	1	0	0	1.4	0	29694	0	0	0
100000084	STR_NPC_SWORD_N_U_01	0	29659	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29696	29697	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000085	STR_NPC_MACE_N_U_03	0	29679	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	306	29698	29699	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000086	STR_SWORD_G_16A	29700	29659	1013	16	15098	0	3	2	0	5650	1	0	1	1	0	29609	291	29701	0	0	0	10	2	1	0	1	0	0	1.4	0	29702	0	0	0
100000087	STR_SWORD_D_G_16A	0	29659	1013	16	15098	0	3	2	0	5650	1	0	1	1	0	29609	291	29661	0	0	0	10	2	1	1	1	0	0	1.4	0	29703	0	0	0
100000088	STR_SWORD_POLYMORPH_01A	0	29608	1013	10	15057	0	3	1	0	7050	1	1	1	2	0	29609	268	29641	0	0	0	10	1	1	1	1	0	0	1.4	0	29704	0	0	0
100000089	STR_SWORD_POLYMORPH_01A	0	29608	1013	10	15057	0	3	1	0	7050	1	1	1	2	0	29609	268	29641	0	0	0	10	1	1	1	1	0	0	1.4	0	29704	0	0	0
100000090	STR_TEST_SWORD_18A	0	29608	1013	18	15194	0	3	1	0	24200	1	1	1	2	0	29609	268	29660	0	0	0	10	1	1	1	1	0	0	1.4	0	29705	0	0	0
100000091	STR_TEST_SWORD_23A	0	29608	1013	23	15196	0	3	1	0	59450	1	1	1	2	0	29609	268	29660	0	29706	29706	10	1	1	1	1	0	0	1.4	0	29707	0	0	0
100000092	STR_SWORD_C_N_C_01A	0	29708	1013	1	15033	0	3	1	0	5	0	0	1	1	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000093	STR_SWORD_D_C_N_C_01A	0	29708	1013	1	15033	0	3	1	0	5	0	0	1	1	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000094	STR_SWORD_N_C_01A	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000095	STR_SWORD_N_C_03A	0	29608	1013	3	25130	0	3	1	0	400	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29709	0	0	0
100000096	STR_SWORD_N_C_08A	0	29608	1013	8	15091	0	3	1	0	4450	1	1	1	2	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29710	0	0	0
100000097	STR_SWORD_N_C_10A	0	29608	1013	10	15057	0	3	1	0	7050	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29704	0	0	0
100000098	STR_SWORD_N_C_13A	0	29608	1013	13	15192	0	3	1	0	12550	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29711	0	0	0
100000099	STR_SWORD_N_C_18A	0	29608	1013	18	15194	0	3	1	0	24200	1	1	1	2	0	29609	268	29654	0	0	0	10	1	1	1	1	0	0	1.4	0	29705	0	0	0
100000100	STR_SWORD_N_C_23A	0	29608	1013	23	15196	0	3	1	0	59450	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29707	0	0	0
100000101	STR_SWORD_N_C_28A	0	29608	1013	28	15198	0	3	1	0	128000	1	1	1	2	0	29609	268	29712	0	0	0	10	1	1	1	1	0	0	1.4	0	29713	0	0	0
100000102	STR_SWORD_N_C_33A	0	29608	1013	33	15200	0	3	1	0	310400	1	1	1	2	0	29609	268	29714	0	0	0	10	1	1	1	1	0	0	1.4	0	29715	0	0	0
100000103	STR_SWORD_N_C_38A	0	29608	1013	38	15202	0	3	1	0	856350	1	1	1	2	0	29609	268	29656	0	0	0	10	1	1	1	1	0	0	1.4	0	29716	0	0	0
100000104	STR_SWORD_N_C_43A	0	29608	1013	43	15315	0	3	1	0	1723050	1	1	1	2	0	29609	268	29657	0	0	0	10	1	1	1	1	0	0	1.4	0	29717	0	0	0
100000105	STR_SWORD_N_C_48A	0	29608	1013	48	15317	0	3	1	0	1980900	1	1	1	2	0	29609	268	29658	0	0	0	10	1	1	1	1	0	0	1.4	0	29718	0	0	0
100000106	STR_SWORD_D_N_C_01A	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29611	0	0	0
100000107	STR_SWORD_D_N_C_03A	0	29608	1013	3	25130	0	3	1	0	400	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29709	0	0	0
100000108	STR_SWORD_D_N_C_08A	0	29608	1013	8	15091	0	3	1	0	4450	1	1	1	2	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29710	0	0	0
100000109	STR_SWORD_D_N_C_10A	0	29608	1013	10	15057	0	3	1	0	7050	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29704	0	0	0
100000110	STR_SWORD_D_N_C_13A	0	29608	1013	13	15192	0	3	1	0	12550	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29711	0	0	0
100000111	STR_SWORD_D_N_C_18A	0	29608	1013	18	15194	0	3	1	0	24200	1	1	1	2	0	29609	268	29654	0	0	0	10	1	1	1	1	0	0	1.4	0	29705	0	0	0
100000112	STR_SWORD_D_N_C_23A	0	29608	1013	23	15196	0	3	1	0	59450	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29707	0	0	0
100000113	STR_SWORD_D_N_C_28A	0	29608	1013	28	15198	0	3	1	0	128000	1	1	1	2	0	29609	268	29712	0	0	0	10	1	1	1	1	0	0	1.4	0	29713	0	0	0
100000114	STR_SWORD_D_N_C_33A	0	29608	1013	33	15200	0	3	1	0	310400	1	1	1	2	0	29609	268	29714	0	0	0	10	1	1	1	1	0	0	1.4	0	29715	0	0	0
100000115	STR_SWORD_D_N_C_38A	0	29608	1013	38	15202	0	3	1	0	856350	1	1	1	2	0	29609	268	29656	0	0	0	10	1	1	1	1	0	0	1.4	0	29716	0	0	0
100000116	STR_SWORD_D_N_C_43A	0	29608	1013	43	15315	0	3	1	0	1723050	1	1	1	2	0	29609	268	29657	0	0	0	10	1	1	1	1	0	0	1.4	0	29717	0	0	0
100000117	STR_SWORD_D_N_C_48A	0	29608	1013	48	15317	0	3	1	0	1980900	1	1	1	2	0	29609	268	29658	0	0	0	10	1	1	1	1	0	0	1.4	0	29718	0	0	0
100000125	STR_SWORD_N_C_23B	0	29708	1013	23	15196	0	3	1	0	59450	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29707	29719	0	0
100000133	STR_SWORD_N_C2_02A	0	29708	1013	2	25176	0	3	1	0	200	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29720	16050	0	0
100000134	STR_SWORD_N_C2_07A	0	29708	1013	7	15162	0	3	1	0	3100	1	1	1	2	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29721	18856	0	0
100000135	STR_SWORD_N_C2_12A	0	29708	1013	12	15165	0	3	1	0	10750	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29722	15952	0	0
100000136	STR_SWORD_N_C2_17A	0	29708	1013	17	15168	0	3	1	0	21100	1	1	1	2	0	29609	268	29654	0	0	0	10	1	1	1	1	0	0	1.4	0	29723	25877	0	0
100000137	STR_SWORD_N_C2_22A	0	29708	1013	22	201	0	3	1	0	48700	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29724	18978	0	0
100000138	STR_SWORD_N_C2_27A	0	29708	1013	27	15174	0	3	1	0	112550	1	1	1	2	0	29609	268	29712	0	0	0	10	1	1	1	1	0	0	1.4	0	29725	29726	0	0
100000139	STR_SWORD_N_C2_32A	0	29708	1013	32	15177	0	3	1	0	262800	1	1	1	2	0	29609	268	29714	0	0	0	10	1	1	1	1	0	0	1.4	0	29727	22483	0	0
100000140	STR_SWORD_N_C2_37A	0	29708	1013	37	15181	0	3	1	0	759200	1	1	1	2	0	29609	268	29656	0	0	0	10	1	1	1	1	0	0	1.4	0	29728	29729	0	0
100000141	STR_SWORD_N_C2_42A	0	29708	1013	42	15184	0	3	1	0	1580350	1	1	1	2	0	29609	268	29657	0	0	0	10	1	1	1	1	0	0	1.4	0	29730	22536	0	0
100000142	STR_SWORD_N_C2_47A	0	29708	1013	47	15188	0	3	1	0	1955850	1	1	1	2	0	29609	268	29658	0	0	0	10	1	1	1	1	0	0	1.4	0	29731	29732	0	0
100000143	STR_SWORD_D_N_C2_02A	0	29708	1013	2	25176	0	3	1	0	200	1	1	1	2	0	29609	268	29640	0	0	0	10	1	1	1	1	0	0	1.4	0	29720	16050	0	0
100000144	STR_SWORD_D_N_C2_07A	0	29708	1013	7	15162	0	3	1	0	3100	1	1	1	2	0	29609	268	29652	0	0	0	10	1	1	1	1	0	0	1.4	0	29721	18856	0	0
100000145	STR_SWORD_D_N_C2_12A	0	29708	1013	12	15165	0	3	1	0	10750	1	1	1	2	0	29609	268	29653	0	0	0	10	1	1	1	1	0	0	1.4	0	29722	15952	0	0
100000146	STR_SWORD_D_N_C2_17A	0	29708	1013	17	15168	0	3	1	0	21100	1	1	1	2	0	29609	268	29654	0	0	0	10	1	1	1	1	0	0	1.4	0	29723	25877	0	0
100000147	STR_SWORD_D_N_C2_22A	0	29708	1013	22	201	0	3	1	0	48700	1	1	1	2	0	29609	268	29655	0	0	0	10	1	1	1	1	0	0	1.4	0	29724	18978	0	0
100000148	STR_SWORD_D_N_C2_27A	0	29708	1013	27	15174	0	3	1	0	112550	1	1	1	2	0	29609	268	29712	0	0	0	10	1	1	1	1	0	0	1.4	0	29725	29726	0	0
100000149	STR_SWORD_D_N_C2_32A	0	29708	1013	32	15177	0	3	1	0	262800	1	1	1	2	0	29609	268	29714	0	0	0	10	1	1	1	1	0	0	1.4	0	29727	22483	0	0
100000150	STR_SWORD_D_N_C2_37A	0	29708	1013	37	15181	0	3	1	0	759200	1	1	1	2	0	29609	268	29656	0	0	0	10	1	1	1	1	0	0	1.4	0	29728	29729	0	0
100000151	STR_SWORD_D_N_C2_42A	0	29708	1013	42	15184	0	3	1	0	1580350	1	1	1	2	0	29609	268	29657	0	0	0	10	1	1	1	1	0	0	1.4	0	29730	22536	0	0
100000152	STR_SWORD_D_N_C2_47A	0	29708	1013	47	15188	0	3	1	0	1955850	1	1	1	2	0	29609	268	29658	0	0	0	10	1	1	1	1	0	0	1.4	0	29731	29732	0	0
100000153	STR_SWORD_N_R1_04A	0	29659	1013	4	15132	0	3	2	0	950	1	2	1	2	0	29609	291	29660	0	0	0	10	2	1	1	1	0	0	1.4	0	29721	20051	0	0
100000154	STR_SWORD_N_R1_09A	0	29659	1013	9	15135	0	3	2	0	7650	1	2	1	2	0	29609	291	29641	0	0	0	10	2	1	1	1	0	0	1.4	0	29722	15942	0	0
