# Aion2 地图场景 CDN 下载链接
# 来源：2026-08-13 资源清单 localfilelist.bin；共 78 张。
# URL 末尾虽为 .zip，响应内容实际是原始 UnityFS 场景；下载后按 relative_path 保存。
# 校验：文件大小必须等于 size_bytes，XXH64 必须等于 xxh64。
# 字段：map_id | status | size_bytes | download_flag | xxh64 | relative_path | url

idabprol2 | not_downloaded | 14180183 | 310020000 | 9a4d166fb565c904 | levels/idabprol2/idabprol2.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprol2/idabprol2.unity.scene_9a4d166fb565c904.zip
idabprol3 | not_downloaded | 16168396 | 310120000 | 5a477e88a9b4f590 | levels/idabprol3/idabprol3.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprol3/idabprol3.unity.scene_5a477e88a9b4f590.zip
idabre_core | not_downloaded | 66548203 | 300220000 | 08596da389071b76 | levels/idabre_core/idabre_core.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_core/idabre_core.unity.scene_08596da389071b76.zip
idabre_low_divine | not_downloaded | 13189806 | 300060000 | 626e5c10e34d731b | levels/idabre_low_divine/idabre_low_divine.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_low_divine/idabre_low_divine.unity.scene_626e5c10e34d731b.zip
idabre_low_eciel | not_downloaded | 6610470 | 300090000 | 4d2e852bce1e78f4 | levels/idabre_low_eciel/idabre_low_eciel.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_low_eciel/idabre_low_eciel.unity.scene_4d2e852bce1e78f4.zip
idabre_low_wciel | not_downloaded | 13930673 | 300080000 | 19a3bf28d03a918b | levels/idabre_low_wciel/idabre_low_wciel.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_low_wciel/idabre_low_wciel.unity.scene_19a3bf28d03a918b.zip
idabre_up3_crotan | not_downloaded | 28545728 | 300140000 | 4c689558d7c728de | levels/idabre_up3_crotan/idabre_up3_crotan.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_up3_crotan/idabre_up3_crotan.unity.scene_4c689558d7c728de.zip
idabre_up3_dkisas | not_downloaded | 27467839 | 300120000 | 9fe313957d4083c3 | levels/idabre_up3_dkisas/idabre_up3_dkisas.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_up3_dkisas/idabre_up3_dkisas.unity.scene_9fe313957d4083c3.zip
idabre_up3_lamiren | not_downloaded | 32803080 | 300130000 | 3aa68305c1a24b28 | levels/idabre_up3_lamiren/idabre_up3_lamiren.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_up3_lamiren/idabre_up3_lamiren.unity.scene_3aa68305c1a24b28.zip
idabre_up_asteria | not_downloaded | 22845549 | 300050000 | 838b7735e6c08973 | levels/idabre_up_asteria/idabre_up_asteria.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_up_asteria/idabre_up_asteria.unity.scene_838b7735e6c08973.zip
idabre_up_rhoo | not_downloaded | 23508346 | 300070000 | eb61e9e3a6779a63 | levels/idabre_up_rhoo/idabre_up_rhoo.unity.scene | http://download10.sglt.asia/assets_android/levels/idabre_up_rhoo/idabre_up_rhoo.unity.scene_eb61e9e3a6779a63.zip
idarena | not_downloaded | 141261553 | 300300000 | ac64104e2446db8e | levels/idarena/idarena.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena/idarena.unity.scene_ac64104e2446db8e.zip
idarena_pvp01 | not_downloaded | 103395452 | 300350000 | 54cf8d7eef732f1f | levels/idarena_pvp01/idarena_pvp01.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena_pvp01/idarena_pvp01.unity.scene_54cf8d7eef732f1f.zip
idarena_pvp01_t | not_downloaded | 108833610 | 300420000 | 3e3a855b1c5aff03 | levels/idarena_pvp01_t/idarena_pvp01_t.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena_pvp01_t/idarena_pvp01_t.unity.scene_3e3a855b1c5aff03.zip
idarena_pvp02 | not_downloaded | 85639604 | 300360000 | 8118f23e8a627034 | levels/idarena_pvp02/idarena_pvp02.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena_pvp02/idarena_pvp02.unity.scene_8118f23e8a627034.zip
idarena_pvp02_t | not_downloaded | 85634526 | 300430000 | 4786890752787a4e | levels/idarena_pvp02_t/idarena_pvp02_t.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena_pvp02_t/idarena_pvp02_t.unity.scene_4786890752787a4e.zip
idarena_solo | not_downloaded | 118753479 | 300320000 | 8a2a866ac255ed72 | levels/idarena_solo/idarena_solo.unity.scene | http://download10.sglt.asia/assets_android/levels/idarena_solo/idarena_solo.unity.scene_8a2a866ac255ed72.zip
idcatacombs | not_downloaded | 202881346 | 300170000 | 9c7668f4ba71a2f3 | levels/idcatacombs/idcatacombs.unity.scene | http://download10.sglt.asia/assets_android/levels/idcatacombs/idcatacombs.unity.scene_9c7668f4ba71a2f3.zip
idcromede | not_downloaded | 135907839 | 300230000 | 704c1d23ac0146b4 | levels/idcromede/idcromede.unity.scene | http://download10.sglt.asia/assets_android/levels/idcromede/idcromede.unity.scene_704c1d23ac0146b4.zip
iddc1_arena | not_downloaded | 6607562 | 320090000 | d3f46ade97580a2c | levels/iddc1_arena/iddc1_arena.unity.scene | http://download10.sglt.asia/assets_android/levels/iddc1_arena/iddc1_arena.unity.scene_d3f46ade97580a2c.zip
iddc1_arena_3f | not_downloaded | 8603404 | 320120000 | ea9a8ae5f518180d | levels/iddc1_arena_3f/iddc1_arena_3f.unity.scene | http://download10.sglt.asia/assets_android/levels/iddc1_arena_3f/iddc1_arena_3f.unity.scene_ea9a8ae5f518180d.zip
iddf1b | not_downloaded | 22498428 | 320060000 | 75bf604da43d2793 | levels/iddf1b/iddf1b.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf1b/iddf1b.unity.scene_75bf604da43d2793.zip
iddf2_dflame | not_downloaded | 29319393 | 320100000 | b7d3cd9a5fc5477a | levels/iddf2_dflame/iddf2_dflame.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf2_dflame/iddf2_dflame.unity.scene_b7d3cd9a5fc5477a.zip
iddf2a_adma | not_downloaded | 47315079 | 320130000 | 5f57808f81dcc3a2 | levels/iddf2a_adma/iddf2a_adma.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf2a_adma/iddf2a_adma.unity.scene_5f57808f81dcc3a2.zip
iddf2flying | not_downloaded | 16859807 | 320050000 | 35bd5c465ab313aa | levels/iddf2flying/iddf2flying.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf2flying/iddf2flying.unity.scene_35bd5c465ab313aa.zip
iddf3_dragon | not_downloaded | 67990096 | 320080000 | 29c5b2419e80a601 | levels/iddf3_dragon/iddf3_dragon.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf3_dragon/iddf3_dragon.unity.scene_29c5b2419e80a601.zip
iddf3_lp | not_downloaded | 20089023 | 320110000 | 07fbf5ac82408454 | levels/iddf3_lp/iddf3_lp.unity.scene | http://download10.sglt.asia/assets_android/levels/iddf3_lp/iddf3_lp.unity.scene_07fbf5ac82408454.zip
iddramata_01 | not_downloaded | 27737496 | 320150000 | 7e2f88a1ad34f75a | levels/iddramata_01/iddramata_01.unity.scene | http://download10.sglt.asia/assets_android/levels/iddramata_01/iddramata_01.unity.scene_7e2f88a1ad34f75a.zip
iddreadgion_02 | not_downloaded | 47755010 | 300210000 | 9ca01df389344052 | levels/iddreadgion_02/iddreadgion_02.unity.scene | http://download10.sglt.asia/assets_android/levels/iddreadgion_02/iddreadgion_02.unity.scene_9ca01df389344052.zip
idelim | not_downloaded | 63679305 | 300190000 | ad7c053571d1e0ce | levels/idelim/idelim.unity.scene | http://download10.sglt.asia/assets_android/levels/idelim/idelim.unity.scene_ad7c053571d1e0ce.zip
idf4re_drana | not_downloaded | 213560263 | 300250000 | 99c6883ee659a18c | levels/idf4re_drana/idf4re_drana.unity.scene | http://download10.sglt.asia/assets_android/levels/idf4re_drana/idf4re_drana.unity.scene_99c6883ee659a18c.zip
idlc1_arena | not_downloaded | 5564647 | 310080000 | 4c58511ca8b88a1c | levels/idlc1_arena/idlc1_arena.unity.scene | http://download10.sglt.asia/assets_android/levels/idlc1_arena/idlc1_arena.unity.scene_4c58511ca8b88a1c.zip
idlf1 | not_downloaded | 190952712 | 300040000 | a74d943b3c9f2ec3 | levels/idlf1/idlf1.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf1/idlf1.unity.scene_a74d943b3c9f2ec3.zip
idlf1b | not_downloaded | 22475221 | 310060000 | 4d46d2b0a4fd6abe | levels/idlf1b/idlf1b.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf1b/idlf1b.unity.scene_4d46d2b0a4fd6abe.zip
idlf1b_stigma | not_downloaded | 13694165 | 310070000 | 348d195f38c44416 | levels/idlf1b_stigma/idlf1b_stigma.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf1b_stigma/idlf1b_stigma.unity.scene_348d195f38c44416.zip
idlf2a_lab | not_downloaded | 60846029 | 310110000 | 74421f89389b9036 | levels/idlf2a_lab/idlf2a_lab.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf2a_lab/idlf2a_lab.unity.scene_74421f89389b9036.zip
idlf3_castle_indratoo | not_downloaded | 27631405 | 310090000 | cfab10cbb4813e93 | levels/idlf3_castle_indratoo/idlf3_castle_indratoo.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf3_castle_indratoo/idlf3_castle_indratoo.unity.scene_cfab10cbb4813e93.zip
idlf3_castle_lehpar | not_downloaded | 27462234 | 310100000 | 3031d3081d8a7291 | levels/idlf3_castle_lehpar/idlf3_castle_lehpar.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf3_castle_lehpar/idlf3_castle_lehpar.unity.scene_3031d3081d8a7291.zip
idlf3lp | not_downloaded | 20949448 | 310050000 | 4163d7fa1064e14e | levels/idlf3lp/idlf3lp.unity.scene | http://download10.sglt.asia/assets_android/levels/idlf3lp/idlf3lp.unity.scene_4163d7fa1064e14e.zip
idnovice | not_downloaded | 88664997 | 300200000 | ff801925081ee424 | levels/idnovice/idnovice.unity.scene | http://download10.sglt.asia/assets_android/levels/idnovice/idnovice.unity.scene_ff801925081ee424.zip
idshulackship | not_downloaded | 86101655 | 300100000 | 9bdc0e265adae56c | levels/idshulackship/idshulackship.unity.scene | http://download10.sglt.asia/assets_android/levels/idshulackship/idshulackship.unity.scene_9bdc0e265adae56c.zip
idspace | not_downloaded | 527626 | 320070000 | f9bb4a3d73747899 | levels/idspace/idspace.unity.scene | http://download10.sglt.asia/assets_android/levels/idspace/idspace.unity.scene_f9bb4a3d73747899.zip
idtemple_low | not_downloaded | 122120842 | 300160000 | 2d1d913032e42e03 | levels/idtemple_low/idtemple_low.unity.scene | http://download10.sglt.asia/assets_android/levels/idtemple_low/idtemple_low.unity.scene_2d1d913032e42e03.zip
idtemple_up | not_downloaded | 56293791 | 300150000 | da8613ae6d8ee18b | levels/idtemple_up/idtemple_up.unity.scene | http://download10.sglt.asia/assets_android/levels/idtemple_up/idtemple_up.unity.scene_da8613ae6d8ee18b.zip
lc1 | not_downloaded | 178352908 | 110010000 | 45b7aa860e44a1ae | levels/lc1/lc1.unity.scene | http://download10.sglt.asia/assets_android/levels/lc1/lc1.unity.scene_45b7aa860e44a1ae.zip
lc2 | not_downloaded | 11773426 | 110020000 | 00b6a358bf301268 | levels/lc2/lc2.unity.scene | http://download10.sglt.asia/assets_android/levels/lc2/lc2.unity.scene_00b6a358bf301268.zip
lf1 | extracted+navmesh | 142698408 | 0 | cef390d361d6cd9e | levels/lf1/lf1.unity.scene | http://download10.sglt.asia/assets_android/levels/lf1/lf1.unity.scene_cef390d361d6cd9e.zip
lf1a | not_downloaded | 241964573 | 210030000 | 9c79c7ff5afe6540 | levels/lf1a/lf1a.unity.scene | http://download10.sglt.asia/assets_android/levels/lf1a/lf1a.unity.scene_9c79c7ff5afe6540.zip
lf2 | not_downloaded | 416006028 | 210020000 | 1a17325820c5b80f | levels/lf2/lf2.unity.scene | http://download10.sglt.asia/assets_android/levels/lf2/lf2.unity.scene_1a17325820c5b80f.zip
lf2a | not_downloaded | 332047010 | 210060000 | dfba4874e5c207dc | levels/lf2a/lf2a.unity.scene | http://download10.sglt.asia/assets_android/levels/lf2a/lf2a.unity.scene_dfba4874e5c207dc.zip
lf3 | not_downloaded | 528549139 | 210040000 | 8aa337da6eb1eae1 | levels/lf3/lf3.unity.scene | http://download10.sglt.asia/assets_android/levels/lf3/lf3.unity.scene_8aa337da6eb1eae1.zip
lf4 | not_downloaded | 638559100 | 210050000 | 0fefd52f9c6cfb83 | levels/lf4/lf4.unity.scene | http://download10.sglt.asia/assets_android/levels/lf4/lf4.unity.scene_0fefd52f9c6cfb83.zip
lf_prison | not_downloaded | 610081 | 510010000 | 330cb255674ed975 | levels/lf_prison/lf_prison.unity.scene | http://download10.sglt.asia/assets_android/levels/lf_prison/lf_prison.unity.scene_330cb255674ed975.zip
login2 | downloaded | 30519545 | 0 | 2d7d4ef0118e7a1d | levels/login2/login2.unity.scene | http://download10.sglt.asia/assets_android/levels/login2/login2.unity.scene_2d7d4ef0118e7a1d.zip
underpass | not_downloaded | 154016792 | 600010000 | f4538ea201fc7d88 | levels/underpass/underpass.unity.scene | http://download10.sglt.asia/assets_android/levels/underpass/underpass.unity.scene_f4538ea201fc7d88.zip

# scene_bytes_total=8710617976
# not_downloaded_count=75
# not_downloaded_scene_bytes=8366434603
